,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_14,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_14,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_3,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_all_aug_3,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_1,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_2,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_3,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_3,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_4,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_4,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_5,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_5,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_6,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_full_aug_6
,precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad)
file,,,,,,,,,,,,,,,,,,,,,,,,
inference_01,0.990000009536743,g,0.910000026226044,g,0.97000002861023,g,0.819999992847443,g,0.870000004768372,g,0.930000007152557,g,0.910000026226044,g,0.079999998211861,g,0.97000002861023,g,0.910000026226044,g,0.97000002861023,g,0.930000007152557,g
inference_02,0.050000000745058,b,0.029999999329448,g,0.349999994039535,g,0.079999998211861,g,0.689999997615814,g,0.059999998658896,g,0.070000000298023,g,0.029999999329448,b,0.589999973773956,g,0.109999999403954,g,0.090000003576279,g,0.140000000596046,g
inference_03,0.980000019073486,g,0.9200000166893,g,0.9200000166893,g,0.819999992847443,g,0.879999995231628,g,0.9200000166893,g,0.939999997615814,g,0.649999976158142,g,0.980000019073486,g,0.930000007152557,g,0.910000026226044,g,0.949999988079071,g
inference_04,1,g,0.899999976158142,g,0.990000009536743,g,0.949999988079071,g,0.949999988079071,g,0.980000019073486,g,0.97000002861023,g,0.790000021457672,g,0.990000009536743,g,0.97000002861023,g,0.949999988079071,g,0.990000009536743,g
inference_05,0.639999985694885,g,0.439999997615814,g,0.419999986886978,g,0.319999992847443,g,0.479999989271164,g,0.649999976158142,g,0.330000013113022,g,0.070000000298023,g,0.639999985694885,g,0.479999989271164,g,0.709999978542328,g,0.629999995231628,g
inference_06,1,g,0.959999978542328,g,0.990000009536743,g,0.910000026226044,g,0.980000019073486,g,0.97000002861023,g,0.980000019073486,g,0.769999980926514,g,0.990000009536743,g,0.949999988079071,g,0.990000009536743,g,0.97000002861023,g
inference_07,0.990000009536743,g,0.980000019073486,g,0.990000009536743,g,0.930000007152557,g,0.97000002861023,g,0.980000019073486,g,0.97000002861023,g,0.070000000298023,g,0.990000009536743,g,0.930000007152557,g,0.980000019073486,g,0.959999978542328,g
inference_08,0.990000009536743,g,0.870000004768372,g,0.829999983310699,g,0.529999971389771,g,0.899999976158142,g,0.209999993443489,g,0.189999997615814,g,0.550000011920929,g,0.810000002384186,g,0.779999971389771,g,0.889999985694885,g,0.699999988079071,g
inference_09,0.97000002861023,g,0.860000014305115,g,0.899999976158142,g,0.310000002384186,g,0.670000016689301,g,0.730000019073486,g,0.670000016689301,g,0.5,g,0.949999988079071,g,0.509999990463257,g,0.680000007152557,g,0.569999992847443,g
inference_10,0.639999985694885,g,0.579999983310699,g,0.419999986886978,g,0.389999985694885,g,0.800000011920929,g,0.649999976158142,g,0.589999973773956,g,0.349999994039535,g,0.509999990463257,b,0.479999989271164,g,0.409999996423721,b,0.579999983310699,g
inference_11,0.9200000166893,g,0.639999985694885,g,0.479999989271164,g,0.100000001490116,g,0.070000000298023,g,0.090000003576279,g,0.370000004768372,g,0.109999999403954,b,0.709999978542328,b,0.479999989271164,g,0.280000001192093,g,0.340000003576279,b
inference_12,0.990000009536743,g,0.949999988079071,g,0.97000002861023,g,0.910000026226044,g,0.97000002861023,g,0.980000019073486,g,0.97000002861023,g,0.660000026226044,g,1,g,0.97000002861023,g,0.939999997615814,g,0.980000019073486,g
