,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_1_31,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_1_31,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_2_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_2_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_3_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_3_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_3_24,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_3_24,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_4_26,faster_rcnn_resnet101_v1_1024x1024_coco17_tpu-8_4_26
,precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad),precision,class detected (good/bad)
file,,,,,,,,,,
inference_01,0.9100000262260436,g,0.8700000047683716,g,0.5299999713897705,b,0.9200000166893004,g,0.9700000286102295,g
inference_02,0.029999999329447743,b,0.6899999976158142,g,0.009999999776482582,b,0.05000000074505806,b,0.5899999737739563,b
inference_03,0.9200000166893004,g,0.8799999952316284,g,0.8600000143051147,g,0.959999978542328,g,0.9800000190734863,g
inference_04,0.8999999761581421,g,0.9499999880790708,g,0.9800000190734864,g,0.9900000095367432,g,0.9900000095367432,g
inference_05,0.4399999976158142,b,0.479999989271164,b,0.2800000011920929,b,0.5400000214576721,b,0.6399999856948853,g
inference_06,0.959999978542328,g,0.9800000190734864,g,0.9499999880790708,g,0.9900000095367432,g,0.9900000095367432,g
inference_07,0.9800000190734864,g,0.9700000286102296,g,0.6700000166893005,g,0.9800000190734864,g,0.9900000095367432,g
inference_08,0.8700000047683716,g,0.8999999761581421,g,0.7599999904632568,g,0.9300000071525574,g,0.8100000023841858,g
inference_09,0.8600000143051147,g,0.6700000166893005,g,0.2700000107288361,b,0.5400000214576721,b,0.949999988079071,g
inference_10,0.5799999833106995,b,0.8000000119209291,g,0.5899999737739563,b,0.6899999976158142,g,0.5099999904632568,b
inference_11,0.6399999856948853,g,0.07000000029802322,b,0.14000000059604645,b,0.2700000107288361,b,0.7099999785423279,b
inference_12,0.9499999880790708,g,0.9700000286102296,g,0.9200000166893004,g,0.9900000095367432,g,1.0,g
inference_13,0.959999978542328,g,0.8899999856948853,g,0.2300000041723252,b,0.75,g,0.9900000095367432,g
inference_14,0.9100000262260436,g,0.7699999809265137,g,0.7300000190734863,g,0.9399999976158142,g,0.9100000262260437,g
inference_15,0.9100000262260436,g,0.9100000262260436,g,0.6899999976158142,g,0.9399999976158142,g,0.949999988079071,g
inference_16,0.9900000095367432,g,0.9900000095367432,g,0.9399999976158142,g,0.9900000095367432,g,1.0,g
inference_17,0.9700000286102296,g,0.5199999809265137,b,0.2700000107288361,b,0.6499999761581421,g,0.41999998688697815,b
inference_18,0.8799999952316284,g,0.7300000190734863,g,0.8700000047683716,g,0.9700000286102296,g,0.9200000166893005,g
inference_19,0.4900000095367432,b,0.1599999964237213,b,0.75,g,0.8500000238418579,g,0.75,g
inference_20,0.9800000190734864,g,0.9800000190734864,g,0.9399999976158142,g,0.9900000095367432,g,0.9800000190734863,g
inference_21,0.9700000286102296,g,0.9900000095367432,g,0.9900000095367432,g,0.9900000095367432,g,0.9900000095367432,g
inference_22,0.9300000071525574,g,0.9800000190734864,g,0.9700000286102296,g,0.9300000071525574,g,0.9800000190734863,g
inference_23,0.9900000095367432,g,0.9900000095367432,g,0.9900000095367432,g,0.9900000095367432,g,0.9900000095367432,g
inference_24,0.6800000071525574,g,0.9200000166893004,g,0.8299999833106995,g,0.8299999833106995,g,0.8799999952316284,g
inference_25,0.9300000071525574,g,0.8199999928474426,g,0.9399999976158142,g,0.8799999952316284,g,0.7900000214576721,g
inference_26,0.9399999976158142,g,0.9499999880790708,g,0.8299999833106995,g,0.8799999952316284,g,0.9200000166893005,g
inference_27,0.9900000095367432,g,0.959999978542328,g,0.9700000286102296,g,0.8700000047683716,g,0.8899999856948853,g
inference_28,0.7900000214576721,g,0.9900000095367432,g,0.9800000190734864,g,0.9700000286102296,g,0.9900000095367432,g
inference_29,0.03999999910593033,b,0.009999999776482582,b,0.05000000074505806,b,0.07000000029802322,b,0.07000000029802322,b
inference_30,0.6700000166893005,g,0.9100000262260436,g,0.7900000214576721,g,0.7099999785423279,g,0.8399999737739563,g
inference_31,0.9700000286102296,g,0.959999978542328,g,0.9700000286102296,g,0.9399999976158142,g,0.9100000262260437,g
inference_32,0.9800000190734864,g,0.9800000190734864,g,0.9700000286102296,g,0.9200000166893004,g,0.8799999952316284,g
inference_33,0.9900000095367432,g,0.6100000143051147,g,0.9300000071525574,g,0.8100000023841858,g,0.6100000143051147,g
inference_34,0.5299999713897705,b,0.7799999713897705,g,0.9200000166893004,g,0.8299999833106995,g,0.949999988079071,g
inference_35,0.8500000238418579,g,0.9700000286102296,g,0.9200000166893004,g,0.9399999976158142,g,0.9399999976158142,g
inference_36,0.119999997317791,b,0.9200000166893004,g,0.4600000083446503,b,0.3400000035762787,b,0.3400000035762787,b
inference_37,1.0,g,0.9900000095367432,g,0.9900000095367432,g,0.9900000095367432,g,0.9900000095367432,g
inference_38,1.0,g,0.9399999976158142,g,0.9900000095367432,g,0.9800000190734864,g,0.9800000190734863,g
inference_39,0.7200000286102295,b,0.8000000119209291,b,0.6000000238418579,b,0.6800000071525574,b,0.5600000023841858,b
inference_40,0.9100000262260436,g,0.8799999952316284,g,0.9700000286102296,g,0.9399999976158142,g,0.800000011920929,g
inference_41,0.9900000095367432,g,0.9900000095367432,g,1.0,g,0.9900000095367432,g,0.9800000190734863,g
